"dateRep","countriesAndTerritories","continentExp","owid-covid-data.total_cases","owid-covid-data.total_deaths","owid-covid-data.cardiovasc_death_rate"
"4/5/2020","Nigeria","Africa","232","5","181.013"
"4/19/2020","Nigeria","Africa","627","21","181.013"
"4/20/2020","Nigeria","Africa","665","22","181.013"
"5/4/2020","Nigeria","Africa","2802","93","181.013"
"5/30/2020","Nigeria","Africa","9855","273","181.013"
"7/27/2020","Nigeria","Africa","41180","860","181.013"
"7/28/2020","Nigeria","Africa","41804","868","181.013"
"8/18/2020","Nigeria","Africa","49895","981","181.013"
"8/25/2020","Nigeria","Africa","52800","1007","181.013"
"8/31/2020","Nigeria","Africa","54008","1013","181.013"
"9/13/2020","Nigeria","Africa","56256","1082","181.013"
"9/18/2020","Nigeria","Africa","56956","1094","181.013"
"9/22/2020","Nigeria","Africa","57613","1100","181.013"
"9/24/2020","Nigeria","Africa","57849","1102","181.013"
"9/28/2020","Nigeria","Africa","58460","1111","181.013"
"10/11/2020","Nigeria","Africa","60266","1115","181.013"
"10/19/2020","Nigeria","Africa","61558","1125","181.013"
"10/23/2020","Nigeria","Africa","61882","1129","181.013"
"10/24/2020","Nigeria","Africa","61930","1129","181.013"
"10/27/2020","Nigeria","Africa","62224","1135","181.013"
"10/30/2020","Nigeria","Africa","62691","1144","181.013"
"11/2/2020","Nigeria","Africa","63036","1147","181.013"
"11/11/2020","Nigeria","Africa","64516","1162","181.013"
"11/12/2020","Nigeria","Africa","64728","1162","181.013"
"11/20/2020","Nigeria","Africa","65982","1165","181.013"
"11/28/2020","Nigeria","Africa","67330","1171","181.013"
"11/30/2020","Nigeria","Africa","67557","1173","181.013"
"12/4/2020","Nigeria","Africa","68627","1179","181.013"
"12/10/2020","Nigeria","Africa","71344","1190","181.013"
"4/27/2020","Senegal","Africa","736","9","241.219"
"5/11/2020","Senegal","Africa","1886","19","241.219"
"5/16/2020","Senegal","Africa","2429","25","241.219"
"5/24/2020","Senegal","Africa","3047","35","241.219"
"5/28/2020","Senegal","Africa","3348","39","241.219"
"5/29/2020","Senegal","Africa","3429","41","241.219"
"6/4/2020","Senegal","Africa","4021","45","241.219"
"6/7/2020","Senegal","Africa","4328","49","241.219"
"6/8/2020","Senegal","Africa","4427","49","241.219"
"6/11/2020","Senegal","Africa","4759","55","241.219"
"6/12/2020","Senegal","Africa","4851","56","241.219"
"6/22/2020","Senegal","Africa","5970","86","241.219"
