density,quality
1.001,6
0.994,6
0.9951,6
0.9956,6
0.9956,6
0.9951,6
0.9949,6
1.001,6
0.994,6
0.9938,6
0.9908,5
0.9947,5
0.992,5
0.9912,7
1.0002,5
0.9914,7
0.9928,6
0.9892,8
0.9917,6
0.9955,5
0.9892,8
0.9912,7
0.993,8
0.9937,5
0.9951,6
0.9955,6
0.993,6
0.9961,6
0.9914,6
0.9906,7
0.9974,6
0.9934,6
0.992,6
0.9939,6
0.9962,5
0.9905,5
0.9934,5
0.9906,6
0.9999,5
0.9999,5
0.9937,6
0.9937,6
0.9954,6
0.9934,6
0.9934,6
0.9931,7
0.994,4
0.9939,5
0.9954,6
0.995,5
0.9917,6
0.9914,7
0.991,7
0.9911,6
0.993,6
0.9908,6
0.9962,6
0.9972,6
0.9931,6
0.9926,6
0.9951,6
0.9972,6
0.991,5
0.9931,6
0.9927,6
0.9934,5
0.9903,7
0.992,5
0.9926,8
0.9962,5
0.9956,6
0.9958,5
0.9964,5
0.9941,6
0.9926,8
0.9962,5
0.9898,7
0.9912,7
0.9961,5
0.9949,5
0.9929,6
0.9985,6
0.9946,5
0.9966,6
0.9974,5
0.9975,6
0.9974,6
0.9972,6
0.9974,5
0.9975,6
0.9974,6
0.9957,5
0.99,7
0.9899,7
0.9916,7
0.9969,6
0.9979,6
0.9913,7
0.9956,4
0.9979,6
0.9975,5
0.9962,5
0.997,5
1,5
0.9975,5
0.9974,6
0.9962,5
0.999,6
0.999,6
0.9927,5
0.9959,6
1,5
0.9982,5
0.9968,5
0.9968,5
0.994,4
0.9914,6
0.9911,6
0.9982,5
0.9982,5
0.9934,5
0.9984,5
0.9952,5
0.9952,6
0.9928,6
0.9912,6
0.994,5
0.9958,7
0.9924,7
0.9924,6
0.994,5
0.9958,7
0.9979,5
0.9982,5
0.9961,5
0.9979,5
0.992,6
0.9975,5
0.9917,7
0.9923,6
0.9927,5
0.9975,5
0.992,6
0.9947,6
0.9921,6
0.9905,6
0.9918,6
0.9951,4
0.9917,7
0.994,6
0.9934,7
0.9968,6
0.994,6
0.9919,5
0.9966,6
0.9979,6
0.9979,6
0.9898,7
0.9894,8
0.9894,8
0.9898,7
0.998,5
0.9932,5
0.9979,6
0.997,5
0.9972,5
0.9974,6
0.9896,7
0.9968,5
0.9958,5
0.9906,6
0.9917,6
0.9902,4
0.9918,7
0.999,5
0.9927,6
0.991,4
0.9972,5
0.9931,4
0.995,6
0.9951,6
0.9936,5
1.001,5
0.9979,6
0.997,5
0.9972,5
0.9954,6
0.9924,5
0.9906,8
0.9962,4
0.9962,6
1.001,5
0.9928,6
0.9942,5
0.9942,5
0.9942,6
0.9942,5
0.9961,5
0.998,5
0.9961,5
0.9984,5
0.998,5
0.9973,5
0.9949,6
0.9924,4
0.9972,5
0.9958,5
0.9968,4
0.9938,5
0.993,6
0.994,5
0.9918,7
0.9958,5
0.9944,6
0.9912,7
0.9961,5
0.9939,5
0.9961,5
0.9989,5
0.9938,5
0.9939,5
0.9971,6
0.9912,7
0.9936,6
0.9929,6
0.9998,5
0.9938,6
0.9969,6
0.9938,6
0.9998,5
0.9972,4
0.9976,6
0.9976,6
0.9979,6
0.9979,6
0.9979,6
0.9979,6
0.9972,6
0.9918,7
0.9982,6
0.9985,5
0.9944,5
0.9903,7
0.9934,6
0.9975,5
0.9923,6
0.99,7
0.9905,7
0.9905,7
0.996,5
0.9964,4
0.998,3
0.9975,5
0.9913,3
0.9932,6
0.9935,8
0.9927,7
0.9927,7
0.9912,6
0.9904,4
0.9939,6
0.9996,5
0.9944,5
0.9977,6
0.9912,6
0.9996,5
0.9965,6
0.9944,5
0.9945,6
0.9944,6
0.9965,6
0.9944,5
0.9972,5
0.9949,5
0.9966,5
0.9954,6
0.9954,6
0.9915,5
0.9919,4
0.9916,7
0.99,8
0.9909,8
0.9938,4
0.9982,5
0.9988,5
0.9961,5
0.9978,6
0.9979,7
0.9979,7
0.9979,7
0.9979,7
0.9945,6
1,5
0.9957,7
0.9968,3
0.9934,6
0.9976,5
0.9932,7
0.997,6
0.9923,6
0.9914,6
0.992,6
0.9914,6
0.9914,6
0.9949,6
0.9949,6
0.995,5
0.995,6
0.9927,7
0.9928,6
0.9917,7
0.9918,8
0.9954,6
0.9941,6
0.9941,5
0.9934,6
0.9927,6
0.9938,5
0.9933,7
0.9934,6
0.9927,7
0.9938,5
0.9927,6
0.9946,6
0.993,5
0.9946,5
0.9976,6
0.9944,6
0.9978,6
0.992,5
0.9912,8
0.9927,5
0.9906,6
0.9954,5
0.9923,5
0.9906,6
0.991,6
0.9972,6
0.9945,5
0.9934,7
0.9964,7
0.9948,6
0.9962,6
0.9931,5
0.993,6
0.9942,6
0.9906,7
0.9995,6
0.998,6
0.997,5
0.9914,7
0.992,7
0.9924,6
0.992,7
0.9937,6
0.9978,6
0.9978,6
0.9927,6
0.994,6
0.9935,6
0.9968,6
0.9941,5
0.9942,6
0.9978,6
0.9923,7
0.9912,7
0.9923,6
0.9927,6
0.9931,6
0.9941,5
0.9927,6
0.9931,6
0.9934,5
0.9936,6
0.9893,7
0.9893,7
0.9919,7
0.9924,7
0.9927,6
0.9919,7
0.9924,7
0.9975,6
0.9969,6
0.9936,6
0.991,7
0.9893,7
0.9906,7
0.9941,5
0.995,6
0.9983,7
0.9983,7
0.9916,5
0.9957,6
0.99,6
0.9976,5
0.992,5
0.9917,5
0.9917,6
0.9993,5
0.9908,6
0.9917,6
0.9976,5
0.9934,5
1,5
0.9918,6
0.992,5
0.9896,7
0.9932,5
0.992,6
0.9917,5
0.9999,6
0.998,6
0.9918,5
0.9918,5
0.9999,6
0.998,6
0.9927,6
0.9959,5
0.9927,6
0.9929,6
0.9898,7
0.9954,6
0.9954,6
0.9954,6
0.9954,7
0.9954,6
0.9954,6
0.9974,5
0.9936,5
0.9978,5
0.9974,5
0.9927,5
0.9934,7
0.9938,4
0.9922,8
0.992,7
0.9935,5
0.9906,8
0.9934,7
0.9934,5
0.9913,7
0.9938,6
0.9898,8
0.9975,6
